food_ID,recipe_title,tags,cuisine,course,diet,category
2902,Creamy Mocha Lassi ,Festival s|Summer  Ideas|Party Drink s|Buttermilk s|Lassi s,Indian,Snack,Vegetarian,Indian Drink s
2903,Scrambled Paneer Sandwich ,Paneer s|Office Lunch Box s|Breakfast  Ideas|Tea Party s|High Protein Breakfast|Kids Lunch Box s|Picnic  Ideas|Scramble ,Fusion,Lunch,High Protein Vegetarian,Sandwich s
2904,Mumbai Style Tawa Pulao  With Moong Sprouts,Indian Lunch s|Office Lunch Box s|Aloo s (Potato & Baby Potato s)|Kids Lunch Box s|Sprout s|One Dish s|Indian Dinner s|Moong Dal s,Maharashtrian s,Lunch,Vegetarian,Pulao s
2905,Mangalorean Neer Dosa -Savory Rice & Coconut Crepe,South Indian s|Breakfast  Ideas|Gluten Free s|South Indian Breakfast s|Crepe s|Mango s|Coconut s|Karnataka s|Mangalorean s,Mangalorean,South Indian Breakfast,Vegetarian,Dosa s
2906,Karnataka Style Bonda Soup -Urad dal Fritters in Spicy Dal Soup ,South Indian s|South Indian Breakfast s|Fritter s|Urad Dal s,Karnataka,South Indian Breakfast,Vegetarian,Indian Snack s
2907,Yellow Thai Curry Paste  ,Party Food s|Healthy s|Asian Cuisine s,Thai,Main Course,Vegetarian,"Thai s,Malaysian & East Asian s"
2908,Apple Enchilada ,Apple s|Enchiladas s|Birthday Party s,Mexican,Dessert,Vegetarian,Dessert s
2909,Corn And Capsicum Sandwich ,Capsicum s (Bell Pepper)|Breakfast  Ideas|Tea Party s|Kids Lunch Box s|Sweet Corn s|Picnic  Ideas,Continental,Snack,Vegetarian,Sandwich s
2910,Thatte Idli ,South Indian s|Breakfast  Ideas|Tea Party s|South Indian Breakfast s|Sabudana s (Tapioca/sago),Karnataka,South Indian Breakfast,Vegetarian,Idli s
2911,Red Bean Mexican Burrito Bowl  - Roz Ka Khana With Figaro Olive Oil,Avocado s|Burrito s,Mexican,One Pot Dish,Vegetarian,Mexican s
2912,Egg Pulao ,Office Lunch Box s|Healthy s|Dahi s (Curd/Yogurt)|Indian Dinner s,Indian,Lunch,Eggetarian,Pulao s
2913,Mixed Beans Vegetable Pulao ,Office Lunch Box s|One Dish s|Green Beans s (French /Haricot),Indian,Dinner,Vegetarian,Pulao s
2914,Delicious Dal Makhani  Without Onion and Garlic (Jain),Party Food s|Indian Lunch s|No Onion No Garlic s|Jain s,North Indian s,Lunch,High Protein Vegetarian,Dal s
2915,Mixed Vegetable Pulao ,Party Food s|Indian Lunch s|Office Lunch Box s|Cauliflower s (Phool Gobi),Indian,Dinner,Vegetarian,Pulao s
2916,Raw Mango Carrot Cucumber Salad  With Peanuts,Side Dish s|Indian Lunch s|Carrot s|Mango s|Peanut s|Weekend Dinner Ideas|Quick & Easy s|Cucumber s|Raw Mango recipes,Indian,Appetizer,Vegan,Indian Salad s
2917,Vegetable Manchurian Balls in Spicy Orange Sauce,Party Food s|Aloo s (Potato & Baby Potato s)|Party Starter & Appetizer s|Cabbage s (Patta Gobi)|Manchurian s,Indo Chinese,Dinner,Vegetarian,Indian Chinese s
2918,Moringa Masoor Dal  - Drumstick Leaves Dal,High Protein Vegetarian Diet s|Vegetarian s|No Onion No Garlic s|Indian Diabetic s|High Protein Diet|Masoor Dal s|Moringa Leaves s (Drumstick Leaves),North Indian s,Lunch,High Protein Vegetarian,Dal s
2920,Ragi Nippattu  With Peanuts And Sesame - Ragi Thattai / Chekkalu ,South Indian s|Diwali s|Festival s|Tea Party s,South Indian s,Snack,Vegetarian,Indian Snack s
2921,Homemade Eggless Vanilla Custard  ,Side Dish s,Continental,Dessert,Vegetarian,Dessert s
2922,Corn Matar Kachori ,Party Food s|Diwali s|Tea Party s|Party Starter & Appetizer s|Holi s|Sweet Corn s|Green Peas (Matar/ Pattani) s|Kachori s,Indian,Snack,Vegetarian,Indian Snack s
2923,Karnataka Style Set Dosa ,South Indian s|Healthy s|Breakfast  Ideas|South Indian Breakfast s|Kids Lunch Box s|Karnataka s|Indian Breakfast s,Karnataka,South Indian Breakfast,Vegetarian,Dosa s
2924,Khara Bhath -South Indian Rava Bhath,Vegetarian s|Office Lunch Box s|Breakfast  Ideas|Sooji s (Rava/ Semolina)|Kids Lunch Box s|Bachelor s|Chana Dal s (Bengal Gram Dal)|Mother's Day  Contest 2016,Karnataka,South Indian Breakfast,Vegetarian,Upma s
2925,Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo ,Mexican s|Sweet Corn s|Monsoon & Rainy Day s|Delmonte Mayo s|Mayonnaise s,Mexican,Snack,Vegetarian,Indian Snack s
2926,Vanilla Fruit Sauce With Left Over Fruits ,Apple s|Leftover recipes|Sauce s,Continental,Dessert,Vegetarian,"Homemade Jams, Sauce & Pesto s"
2927,Chocolate Ganache  (Perfect Frosting For Cakes and Cup Cakes),Chocolate s,French,Dessert,Vegetarian,Basic & Advanced Cooking Techniques
2928,Fresh Fig Compote  For Desserts ,Party Food s|Side Dish s|Fig s,Continental,Dessert,Vegetarian,Dessert s
2929,Spinach Mushroom Stir Fry  ,Side Dish s|Spinach s (Palak/Keerai)|Mushroom s|Weekend Dinner Ideas|Stir Fried s,Continental,Main Course,High Protein Vegetarian,Continental Food s
